# Output of 'ps ax -oppid,pid,command' on darwin_19.2.0
# Sat Jan  4 18:33:46 2020
 PPID   PID COMMAND
    0     1 /sbin/launchd
    1   134 /usr/sbin/syslogd
    1   135 /usr/libexec/UserEventAgent (System)
    1   139 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    1   140 /usr/libexec/kextd
    1   141 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    1   142 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    1   145 /usr/sbin/systemstats --daemon
    1   146 /usr/libexec/configd
    1   147 endpointsecurityd
    1   148 /System/Library/CoreServices/powerd.bundle/powerd
    1   152 /usr/libexec/logd
    1   153 /usr/libexec/keybagd -t 15
    1   156 /usr/libexec/watchdogd
    1   160 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    1   161 /System/Library/CoreServices/iconservicesd
    1   162 /usr/libexec/diskarbitrationd
    1   165 /usr/libexec/coreduetd
    1   169 /usr/libexec/opendirectoryd
    1   171 /usr/sbin/httpd -D FOREGROUND
    1   172 /System/Library/CoreServices/launchservicesd
    1   173 /usr/libexec/timed
    1   174 /Applications/OneDrive.app/Contents/StandaloneUpdaterDaemon.xpc/Contents/MacOS/StandaloneUpdaterDaemon
    1   176 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    1   177 /usr/sbin/securityd -i
    1   178 auditd -l
    1   180 /usr/libexec/locationd
    1   183 autofsd
    1   184 /usr/libexec/displaypolicyd -k 1
    1   186 /usr/libexec/dasd
    1   193 /System/Library/CoreServices/logind
    1   194 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    1   195 /usr/sbin/KernelEventAgent
    1   198 /usr/sbin/bluetoothd
    1   199 /usr/libexec/hidd
    1   201 /usr/libexec/corebrightnessd --launchd
    1   202 /usr/libexec/AirPlayXPCHelper
    1   203 /usr/libexec/amfid
    1   204 /usr/sbin/notifyd
    1   205 /usr/sbin/distnoted daemon
    1   206 /usr/sbin/cfprefsd daemon
    1   207 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
    1   208 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    1   209 aslmanager
    1   214 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    1   215 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    1   218 /System/Library/CoreServices/coreservicesd
    1   242 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    1   248 /usr/libexec/lsd runAsRoot
    1   249 /usr/libexec/nehelper
    1   251 /usr/libexec/trustd
    1   255 /usr/sbin/coreaudiod
    1   259 /usr/libexec/searchpartyd
    1   271 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
    1   280 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    1   282 /usr/sbin/mDNSResponder
    1   286 /usr/sbin/mDNSResponderHelper
    1   289 /usr/libexec/syspolicyd
    1   290 /usr/libexec/nsurlsessiond --privileged
    1   291 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
    1   292 /usr/libexec/apfsd
    1   293 /usr/libexec/usbd
    1   296 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
    1   297 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
    1   299 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
    1   302 /usr/libexec/smd
    1   304 /usr/libexec/airportd
    1   306 /usr/libexec/diskmanagementd
    1   307 /usr/libexec/mobileassetd
    1   308 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
    1   309 /System/Library/CoreServices/iconservicesagent runAsRoot
    1   323 /usr/libexec/symptomsd
    1   324 /usr/libexec/secinitd
    1   326 /usr/libexec/tzd
    1   336 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    1   337 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
    1   338 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
    1   341 /usr/libexec/lsd
    1   342 /usr/sbin/cfprefsd agent
    1   352 /usr/libexec/trustd --agent
    1   353 /usr/sbin/cfprefsd agent
    1   359 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
    1   360 /usr/libexec/securityd_service
    1   361 /usr/libexec/rtcreportingd
